timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,smape_mean,smape_std,status,error
2026-01-13T19:21:42.551115,xgboost,both,traffic,no,20,highestSlot,20.042,2.687,0.601,0.378,0.13,0.159,0.017,success,
2026-01-13T19:21:42.551188,xgboost,both,traffic,no,20,avgHighestSlot,4.983,0.501,0.112,0.046,0.13,0.075,0.007,success,
2026-01-13T19:21:42.551223,xgboost,both,traffic,no,20,sumOfSlots,228.652,19.41,4.34,0.259,0.133,0.067,0.005,success,
2026-01-13T19:21:42.551254,xgboost,both,traffic,no,20,avgActiveTransceivers,3.653,0.442,0.099,0.45,0.135,0.018,0.002,success,
2026-01-13T19:22:27.111729,xgboost,both,all,yes,20,highestSlot,14.199,2.363,0.528,0.666,0.092,0.109,0.014,success,
2026-01-13T19:22:27.111807,xgboost,both,all,yes,20,avgHighestSlot,3.463,0.426,0.095,0.563,0.091,0.053,0.007,success,
2026-01-13T19:22:27.111842,xgboost,both,all,yes,20,sumOfSlots,82.174,10.139,2.267,0.894,0.026,0.024,0.003,success,
2026-01-13T19:22:27.111874,xgboost,both,all,yes,20,avgActiveTransceivers,2.654,0.303,0.068,0.71,0.086,0.013,0.002,success,
2026-01-13T19:23:07.713733,xgboost,both,all,no,20,highestSlot,17.216,2.696,0.603,0.477,0.143,0.134,0.015,success,
2026-01-13T19:23:07.713816,xgboost,both,all,no,20,avgHighestSlot,4.954,0.551,0.123,0.08,0.114,0.075,0.008,success,
2026-01-13T19:23:07.713857,xgboost,both,all,no,20,sumOfSlots,187.75,23.396,5.231,0.49,0.11,0.055,0.007,success,
2026-01-13T19:23:07.713889,xgboost,both,all,no,20,avgActiveTransceivers,2.672,0.247,0.055,0.707,0.081,0.013,0.001,success,
2026-01-13T19:23:13.139126,lightgbm,euro28,basic,yes,20,highestSlot,8.545,0.907,0.203,0.013,0.217,0.087,0.009,success,
2026-01-13T19:23:13.139159,lightgbm,euro28,basic,yes,20,avgHighestSlot,3.731,0.528,0.118,0.359,0.192,0.057,0.008,success,
2026-01-13T19:23:13.139172,lightgbm,euro28,basic,yes,20,sumOfSlots,112.069,21.267,4.755,0.604,0.147,0.03,0.006,success,
2026-01-13T19:23:13.139183,lightgbm,euro28,basic,yes,20,avgActiveTransceivers,3.676,0.506,0.113,0.374,0.302,0.018,0.002,success,
2026-01-13T19:23:16.317619,lightgbm,euro28,basic,no,20,highestSlot,9.299,1.395,0.312,-0.15,0.288,0.095,0.014,success,
2026-01-13T19:23:16.317655,lightgbm,euro28,basic,no,20,avgHighestSlot,4.716,0.686,0.153,-0.124,0.29,0.071,0.01,success,
2026-01-13T19:23:16.317667,lightgbm,euro28,basic,no,20,sumOfSlots,171.698,27.196,6.081,0.052,0.241,0.047,0.007,success,
