timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,status,error
2026-01-12T12:16:15.652596,lightgbm,euro28,basic,no,20,sumOfSlots,171.698,27.196,6.081,0.052,0.241,success,
2026-01-12T12:16:15.652606,lightgbm,euro28,basic,no,20,avgActiveTransceivers,3.288,0.531,0.119,0.536,0.164,success,
2026-01-12T12:16:21.097288,lightgbm,euro28,topology,yes,20,highestSlot,9.049,0.805,0.18,-0.138,0.279,success,
2026-01-12T12:16:21.097324,lightgbm,euro28,topology,yes,20,avgHighestSlot,4.266,0.532,0.119,0.17,0.154,success,
2026-01-12T12:16:21.097335,lightgbm,euro28,topology,yes,20,sumOfSlots,156.496,22.993,5.141,0.241,0.181,success,
2026-01-12T12:16:21.097345,lightgbm,euro28,topology,yes,20,avgActiveTransceivers,6.0,0.74,0.165,-0.639,0.76,success,
2026-01-12T12:16:24.592073,lightgbm,euro28,topology,no,20,highestSlot,9.832,1.075,0.24,-0.267,0.269,success,
2026-01-12T12:16:24.592108,lightgbm,euro28,topology,no,20,avgHighestSlot,5.25,0.673,0.15,-0.28,0.29,success,
2026-01-12T12:16:24.592118,lightgbm,euro28,topology,no,20,sumOfSlots,208.355,31.497,7.043,-0.296,0.281,success,
2026-01-12T12:16:24.592128,lightgbm,euro28,topology,no,20,avgActiveTransceivers,5.666,1.031,0.23,-0.533,0.772,success,
2026-01-12T12:16:30.102306,lightgbm,euro28,distribution,yes,20,highestSlot,8.948,1.095,0.245,-0.05,0.229,success,
2026-01-12T12:16:30.102340,lightgbm,euro28,distribution,yes,20,avgHighestSlot,3.626,0.433,0.097,0.374,0.115,success,
2026-01-12T12:16:30.102350,lightgbm,euro28,distribution,yes,20,sumOfSlots,115.882,19.873,4.444,0.586,0.141,success,
2026-01-12T12:16:30.102392,lightgbm,euro28,distribution,yes,20,avgActiveTransceivers,3.692,0.64,0.143,0.338,0.461,success,
2026-01-12T12:16:33.583762,lightgbm,euro28,distribution,no,20,highestSlot,10.121,1.121,0.251,-0.266,0.265,success,
2026-01-12T12:16:33.583798,lightgbm,euro28,distribution,no,20,avgHighestSlot,4.848,0.623,0.139,-0.136,0.28,success,
2026-01-12T12:16:33.583808,lightgbm,euro28,distribution,no,20,sumOfSlots,190.392,27.212,6.085,-0.132,0.329,success,
2026-01-12T12:16:33.583818,lightgbm,euro28,distribution,no,20,avgActiveTransceivers,3.661,0.583,0.13,0.349,0.474,success,
2026-01-12T12:16:39.095668,lightgbm,euro28,traffic,yes,20,highestSlot,8.769,1.145,0.256,-0.035,0.275,success,
2026-01-12T12:16:39.095707,lightgbm,euro28,traffic,yes,20,avgHighestSlot,3.787,0.538,0.12,0.309,0.172,success,
2026-01-12T12:16:39.095718,lightgbm,euro28,traffic,yes,20,sumOfSlots,136.666,25.38,5.675,0.411,0.212,success,
2026-01-12T12:16:39.095727,lightgbm,euro28,traffic,yes,20,avgActiveTransceivers,4.171,0.854,0.191,0.16,0.53,success,
2026-01-12T12:16:42.533539,lightgbm,euro28,traffic,no,20,highestSlot,9.616,1.097,0.245,-0.175,0.233,success,
2026-01-12T12:16:42.533571,lightgbm,euro28,traffic,no,20,avgHighestSlot,4.828,0.608,0.136,-0.104,0.243,success,
2026-01-12T12:16:42.533583,lightgbm,euro28,traffic,no,20,sumOfSlots,175.569,36.46,8.153,0.024,0.251,success,
2026-01-12T12:16:42.533593,lightgbm,euro28,traffic,no,20,avgActiveTransceivers,4.026,0.591,0.132,0.223,0.317,success,
2026-01-12T12:16:48.730882,lightgbm,euro28,all,yes,20,highestSlot,8.78,1.004,0.225,0.026,0.233,success,
2026-01-12T12:16:48.730951,lightgbm,euro28,all,yes,20,avgHighestSlot,3.351,0.54,0.121,0.464,0.153,success,
2026-01-12T12:16:48.730981,lightgbm,euro28,all,yes,20,sumOfSlots,111.501,18.929,4.233,0.619,0.143,success,
